periodo	Demanda Interna	Consumo Privado	Consumo Público	Inversión Bruta Interna	Inversión Bruta Fija	Inversión Bruta Fija - Privada	Inversión Bruta Fija - Pública	Variación de Inventarios	Exportaciones	Importaciones	PBI
T319	134695.6663	89401.74071	14760.58604	30533.33958	32056.11132	26200.84888	5855.262446	-1522.77174	37595.97094	34412.60728	137879.03
T419	137365.6481	87920.85499	19333.71218	30111.08089	35241.38825	26206.01116	9035.377089	-5130.307359	40551.20242	34384.71647	143532.134
T120	121291.1258	82863.72663	13359.3553	25068.0439	24156.37306	20361.811	3794.562053	911.6708446	31942.64538	30671.85598	122561.9152
T220	98364.56919	70097.32988	12892.3864	15374.85291	12501.64983	10807.05171	1694.598115	2873.203079	20774.67872	23028.93903	96110.30888
T320	121705.2995	80330.54413	15552.23931	25822.516	28641.0589	24243.06069	4397.998213	-2818.542898	31264.37086	27253.14517	125716.5251
T420	138686.8059	85617.6046	23534.06066	29535.14063	39541.90916	29161.55095	10380.35822	-10006.76853	35375.61757	32464.36203	141598.0614
T121	128618.6437	84617.62644	14626.63976	29374.37753	32893.44885	28223.87127	4669.577581	-3519.07132	31565.68472	32168.85113	128015.4773
T221	138313.1158	91649.64465	16817.37669	29846.09443	34330.88688	28442.78505	5888.101839	-4484.792454	31547.18665	33499.54118	136360.7612
T321	138802.853	89800.88707	17888.88261	31113.08335	35963.02252	29705.8181	6257.204421	-4849.939174	35225.75173	33924.85302	140103.7517
T421	143580.0391	90295.41375	22974.85838	30309.767	38252.30906	29991.51759	8260.791469	-7942.542068	37669.72326	35118.79963	146130.9628
T122	n.d.	n.d.	n.d.	n.d.	n.d.	n.d.	n.d.	n.d.	n.d.	n.d.	n.d.
