periodo	Euro	Libra Esterlina	Peso Mexicano
Ene14	1.362217391	1.6473	13.21246304
Feb14	1.3669625	1.656585	13.289825
Mar14	1.382609524	1.661666667	13.1980619
Abr14	1.381097727	1.674995455	13.06024091
May14	1.373327273	1.684065909	12.92759773
Jun14	1.360066667	1.691690476	12.99124524
Jul14	1.353841304	1.707521739	12.99133696
Ago14	1.331464286	1.66987619	13.14343095
Sep14	1.288356522	1.630073913	13.2470087
Oct14	1.268219565	1.607567391	13.48286087
Nov14	1.2474575	1.57738	13.6306525
Dic14	1.230663043	1.562952174	14.5512413
Ene15	1.16072381	1.513961905	14.69895238
Feb15	1.1353325	1.5334925	14.90916471
Mar15	1.082902273	1.496895455	15.23652273
Abr15	1.081865909	1.496140909	15.21299773
May15	1.115842857	1.545533333	15.27334048
Jun15	1.123518182	1.558738636	15.479325
Jul15	1.099971739	1.555993478	15.94739348
Ago15	1.114509524	1.557919048	16.56673333
Sep15	1.123725	1.533272727	16.84447727
Oct15	1.121888636	1.533172727	16.57758409
Nov15	1.072990476	1.5193	16.62840714
Dic15	1.0899	1.49808913	17.07472174
Ene16	1.0867825	1.438695	18.1004
Feb16	1.110502381	1.431330952	18.46285476
Mar16	1.1142	1.425395652	17.61277826
Abr16	1.133874286	1.431551667	17.48117405
May16	1.129877273	1.452386364	18.17439091
Jun16	1.124195455	1.421043182	18.63590455
Jul16	1.10642381	1.314771429	18.5958
Ago16	1.120567391	1.310467391	18.49689348
Sep16	1.121327273	1.314861364	19.202
Oct16	1.102554762	1.233457143	18.88804762
Nov16	1.078595455	1.24415	20.09101364
Dic16	1.053865909	1.247354545	20.52352273
Ene17	1.063145455	1.235345455	21.39489091
Feb17	1.0641625	1.2486575	20.278285
Mar17	1.068747826	1.234745652	19.27342174
Abr17	1.0716575	1.26438	18.74888
May17	1.105691304	1.292223913	18.76913696
Jun17	1.1238	1.281213636	18.13430682
Jul17	1.153164286	1.299797619	17.80905952
Ago17	1.181836957	1.295695652	17.80145217
Sep17	1.189840909	1.331329545	17.862025
Oct17	1.175490909	1.32015	18.83396364
Nov17	1.174413636	1.323075	18.91498636
Dic17	1.183621429	1.340438095	19.21139524
Ene18	1.219182609	1.381436957	18.93912174
Feb18	1.234335	1.3963775	18.6598125
Mar18	1.233765909	1.397718182	18.58212273
Abr18	1.227238095	1.406861905	18.37843095
May18	1.181328261	1.346165217	19.56159565
Jun18	1.167233333	1.328559524	20.3056881
Jul18	1.168613636	1.316995455	18.98897273
Ago18	1.154231818	1.286747727	18.85826591
Sep18	1.16609	1.3057775	19.0015225
Oct18	1.148113043	1.30105	19.21696522
Nov18	1.136247727	1.289936364	20.24585227
Dic18	1.137307143	1.266604762	20.09280476
Ene19	1.142614	1.291314	19.1713
Feb19	1.13481	1.3013075	19.19205
Mar19	1.13007619	1.317466667	19.2330381
Abr19	1.123318182	1.303022727	18.95318864
May19	1.118417391	1.28413913	19.10914783
Jun19	1.12958	1.26763	19.27601
Jul19	1.121317391	1.246330435	19.05313696
Ago19	1.112279545	1.215286364	19.70040227
Sep19	1.100766667	1.23552381	19.58307143
Oct19	1.105708696	1.265952174	19.32591304
Nov19	1.104733333	1.288385714	19.31352143
Dic19	1.111370455	1.309804545	19.099975
Ene20	1.11041087	1.308465217	18.79777826
Feb20	1.09054	1.2954975	18.8325275
Mar20	1.1063	1.235965909	22.32967955
Abr20	1.087195455	1.24185	24.17096136
May20	1.090609524	1.229421429	23.46587619
Jun20	1.125779545	1.252788636	22.31762273
Jul20	1.147297826	1.268569565	22.39879565
Ago20	1.18297381	1.313580952	22.18968571
Sep20	1.178914286	1.296059524	21.61687857
Oct20	1.176759091	1.297575	21.27407273
Nov20	1.183714286	1.321680952	20.40931429
Dic20	1.217317391	1.34526087	19.9455
Ene21	1.217366667	1.364378571	19.93148571
Feb21	1.2094275	1.3867775	20.2888025
Mar21	1.190008696	1.386078261	20.76235217
Abr21	1.197122727	1.384234091	20.05839091
May21	1.214835714	1.40882381	19.96928333
Jun21	1.203990909	1.401988636	20.0289
Jul21	1.182475	1.381256818	19.96885909
Ago21	1.176738636	1.379656818	20.07754773
Sep21	1.176536364	1.37285	20.05252045
Oct21	1.159954762	1.369245238	20.4528381
Nov21	1.140886364	1.345172727	20.88031364
Dic21	1.130682609	1.33188913	20.89018043
